,state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,status,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500
10,WA,47.6495905,-122.34979560000001,98104,c:10200,Seattle,,Swype,acquired,1,1/1/2002,,4/2/2009,7/12/2011,7.2548,9.5315,7.5425,11.3151,5,5,13900000,3,WA,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,c:10200,0,1,0,1,1,0,2.2,1
11,NY,40.730646,-73.986614,10010,c:102867,New York City,New York City NY 10010,WeHostels,acquired,1,11/15/2011,,3/18/2012,3/18/2012,0.3397,0.3397,0.5452,1.7151,9,1,1200000,3,NY,0,1,0,0,0,travel,0,0,0,0,0,0,0,0,0,1,c:102867,0,1,0,0,0,0,5.0,1
12,CA,37.424298,-122.13980900000001,94306,c:103204,Palo Alto,Palo Alto CA 94306,PlayerDuel,closed,0,1/1/2011,5/1/2013,9/5/2011,6/13/2012,0.6767,1.4493,0.0,0.0,2,2,21189,1,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:103204,1,1,0,0,0,0,1.0,1
13,CO,40.730646,-73.986614,80302,c:10392,Boulder,,Intela,acquired,1,2/2/2006,,1/18/2010,8/9/2012,3.9616,6.5205,4.5781,7.6877,4,2,13250000,4,CO,0,0,0,0,1,advertising,0,0,0,0,1,0,0,0,0,0,c:10392,1,0,0,0,0,0,2.0,0
14,CA,40.787878000000006,-74.388207,94402,c:10398,San Mateo,,Picateers,closed,0,1/1/2005,11/1/2011,1/1/2006,8/25/2008,1.0,3.6493,3.4986,3.4986,10,2,12100000,1,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:10398,0,0,1,1,0,0,1.0,1
15,CA,40.730646,-73.986614,94111,c:1042,San Francisco,,Whiskey Media,acquired,1,10/1/2007,,3/24/2009,12/31/2009,1.4795,2.2521,2.2521,2.2521,6,2,4000000,1,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:1042,1,0,0,0,0,0,1.0,0
16,MA,42.712207,-73.203599,1267,c:1043,Williamstown,Williamstown MA 1267,VoodooVox,acquired,1,1/1/2002,,8/2/2005,2/8/2013,3.5863,11.1123,8.0055,9.9945,13,3,9650000,4,MA,0,0,1,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:1043,1,0,1,0,0,1,4.0,1
17,NY,42.712207,-73.203599,10003,c:10452,New York,,Image Space Media,acquired,1,1/1/2008,,1/19/2010,12/30/2010,2.0521,2.9973,2.0027,3.8137,9,2,3915000,2,NY,0,1,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,c:10452,1,0,1,0,0,0,3.0,1
18,NY,37.809782,-122.41730600000001,10003,c:105,New York,,Surphace,acquired,1,6/1/2005,,4/1/2005,5/1/2006,-0.1671,0.9151,2.674,8.3836,15,2,3500000,4,NY,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:105,0,0,1,1,0,0,5.5,1
19,CA,37.379684000000005,-121.97514,95054,c:10512,Santa Clara,,Mimosa Systems,acquired,1,8/29/2003,,12/5/2005,1/12/2010,2.2712,6.3781,,,8,6,53816776,0,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:10512,1,0,0,1,1,1,5.0,1
20,CA,37.7870923,-122.3999719,94105,c:10581,San Francisco,,Lolapps,acquired,1,1/1/2008,,9/5/2008,9/5/2008,0.6795,0.6795,2.9178,4.2274,15,1,4000000,3,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:10581,0,0,1,0,0,0,3.0,1
21,NC,35.809201,-78.81525400000001,27560,c:106,Morrisville,Morrisville NC 27560,iContact,acquired,1,7/2/2003,,5/1/2006,8/30/2010,2.8329,7.1671,7.0356,9.0932,20,5,53350000,5,NC,0,0,0,0,1,messaging,0,0,0,0,0,0,0,0,0,1,c:106,0,1,1,1,0,0,1.25,1
22,CA,34.005914000000004,-118.488129,90034,c:10610,Los Angeles,,Geodelic Systems,closed,0,1/1/2008,1/1/2011,12/1/2008,9/23/2010,0.9178,2.7288,2.4164,2.7288,8,3,10500000,3,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:10610,1,0,1,1,0,0,2.0,1
23,WA,47.649027000000004,-122.346299,98121,c:1067,Seattle,,AdReady,acquired,1,1/1/2006,,7/1/2007,6/19/2012,1.4959,6.4685,,,26,4,17807000,0,WA,0,0,0,0,1,advertising,0,0,0,0,1,0,0,0,0,0,c:1067,1,0,1,1,1,0,2.6667,1
24,CA,37.7875,-122.39983600000001,94105,c:1069,San Francisco,,Mochi Media,acquired,1,1/1/2005,,3/12/2008,6/18/2008,3.1945,3.463,3.8356,8.0137,17,2,14000000,4,CA,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,c:1069,0,0,1,1,0,0,1.5,1
25,CA,37.590339,-122.341715,94010,c:107,Burlingame,,MeeVee,acquired,1,7/1/2000,,2/1/2005,9/1/2007,4.5918,7.1726,-0.4986,12.6795,7,4,25000000,3,CA,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,c:107,0,0,1,1,1,1,3.5,1
26,CA,37.764395,-122.40102399999999,94103,c:10751,San Francisco,,Pixelpipe,closed,0,1/1/2008,8/2/2013,1/1/2007,4/25/2011,-1.0,3.3151,3.6959,5.662999999999999,4,2,2300000,3,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:10751,0,1,1,0,0,0,2.0,0
27,OR,45.520247,-122.674195,97209,c:107746,Portland,Portland OR 97209,Meridian,acquired,1,3/1/2011,,9/14/2011,8/30/2012,0.5397,1.5014,-14.1699,2.2082,6,2,1975000,2,OR,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,c:107746,1,1,0,0,0,0,3.0,0
28,CA,37.782809,-122.394354,94103,c:1078,San Francisco,,The Climate Corporation,acquired,1,1/1/2006,,1/1/2007,6/14/2012,1.0,6.4548,6.5342,7.0055,28,4,108900000,2,CA,1,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,c:1078,0,0,1,1,1,0,7.5,1
29,AZ,33.426418,-111.9396,85281,c:10864,Tempe,,FetchBack,acquired,1,4/1/2007,,1/1/2008,1/1/2008,0.7534,0.7534,3.1699,4.6247,13,1,1000000,2,AZ,0,0,0,0,1,advertising,0,0,0,0,1,0,0,0,0,0,c:10864,0,0,1,0,0,0,3.0,1
30,NY,40.743808,-73.983626,10016,c:1088,New York,,Tumblr,acquired,1,2/1/2007,,10/31/2007,1/1/2012,0.7452,4.9178,3.0438,6.8411,30,6,125250000,5,NY,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:1088,1,0,1,1,1,1,3.5,1
31,CA,37.7870842,-122.40380470000001,94103,c:109,San Francisco,,Mashery,acquired,1,5/1/2006,,1/1/2007,7/23/2012,0.6712,6.2329,4.0493,7.5973,37,6,34700000,4,CA,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,c:109,1,1,1,1,1,1,5.0,1
32,CA,37.407311,-121.898605,95035,c:10913,Milpitas,,ConSentry Networks,closed,0,6/1/2003,9/2/2011,7/18/2005,1/19/2009,2.1315,5.6411,2.589,2.589,11,3,46400000,1,CA,1,0,0,0,0,network_hosting,0,0,0,0,0,0,0,0,0,1,c:10913,1,0,0,0,1,1,4.0,1
33,CA,37.4155698,-121.9486567,95134,c:10915,San Jose,,LogLogic,acquired,1,1/1/2002,,5/26/2009,5/26/2009,7.4027,7.4027,7.4,11.874,15,1,8800000,3,CA,1,0,0,0,0,security,0,0,0,0,0,0,0,0,0,1,c:10915,0,0,0,0,0,1,5.0,1
34,TX,32.969251,-96.823778,75001,c:10969,Addison,,Semantra,closed,0,1/1/2003,4/25/2010,9/1/2006,7/22/2008,3.6685,5.5589,,,0,3,9100000,0,TX,0,0,0,1,0,software,1,0,0,0,0,0,0,0,0,0,c:10969,1,0,0,1,1,0,1.0,0
35,TX,30.2729209,-97.7443863,78701,c:11042,Austin,,Gowalla,acquired,1,8/28/2007,,2/27/2008,1/28/2010,0.5014,2.4219,2.8192,5.8849,21,3,10400001,3,TX,0,0,0,1,0,web,0,1,0,0,0,0,0,0,0,0,c:11042,0,0,1,1,0,0,6.0,1
36,MD,38.963491999999995,-77.091025,20815,c:1107,Chevy Chase,,JackBe,acquired,1,1/1/2002,,1/10/2006,4/8/2010,4.0274,8.2712,5.811,11.0986,15,4,24500000,5,MD,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,c:1107,0,0,0,1,1,1,4.3333,1
37,CA,37.445326,-122.160671,94301,c:1111,Palo Alto,,EchoSign,acquired,1,7/15/2005,,10/1/2005,10/1/2007,0.2137,2.2137,4.6301,5.5534,8,2,8500000,3,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:1111,0,0,1,1,0,0,1.0,1
38,CO,39.755092,-104.988123,80209,c:1120,Denver,,Buzzwire,closed,0,7/1/2007,1/1/2013,7/1/2007,12/1/2007,0.0,0.4192,1.5397,1.5397,5,2,12000000,1,CO,0,0,0,0,1,mobile,0,0,1,0,0,0,0,0,0,0,c:1120,0,0,1,1,0,0,2.5,1
39,MA,42.543932,-71.27869799999999,1821,c:11279,Billerica,,Vertica Systems,acquired,1,1/1/2005,9/17/2013,4/1/2005,2/14/2007,0.2466,2.1205,5.0027,6.1233,20,3,30500000,3,MA,0,0,1,0,0,software,1,0,0,0,0,0,0,0,0,0,c:11279,1,0,1,1,0,0,2.6667,1
40,CA,37.419346999999995,-122.08963899999999,94043,c:11307,Mountain View,,Exaprotect,acquired,1,1/1/2004,,7/10/2006,7/10/2006,2.5233,2.5233,4.0027,9.8849,5,1,7660000,3,CA,1,0,0,0,0,security,0,0,0,0,0,0,0,0,0,1,c:11307,0,0,1,0,0,0,6.0,1
41,NY,40.7434025,-73.9890857,10010,c:11397,New York,,B-Side Entertainment,closed,0,4/7/2005,3/1/2010,10/11/2006,11/14/2008,1.5123,3.6082,1.3178,4.1589,8,2,7350000,3,NY,0,1,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,c:11397,0,0,1,1,0,0,4.5,1
42,TX,30.392018,-97.848345,78730,c:11423,Austin,,CoreTrace,acquired,1,1/1/2007,,11/9/2007,8/10/2012,0.8548,5.611000000000001,0.0,0.0,2,3,16898621,1,TX,0,0,0,1,0,security,0,0,0,0,0,0,0,0,0,1,c:11423,0,0,1,1,0,0,1.5,1
43,CA,37.79402,-122.40312420000001,94111,c:11438,San Francisco,,PicApp,acquired,1,1/1/2008,,9/17/2008,9/17/2008,0.7123,0.7123,1.5836,3.0027,5,1,3200000,3,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:11438,0,0,1,0,0,0,1.0,1
44,CA,37.486571000000005,-122.229161,94063,c:1148,Redwood City,,Predictify,closed,0,3/1/2007,8/1/2009,3/25/2008,3/25/2008,1.0685,1.0685,0.8384,3.9918,4,1,4300000,3,CA,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,c:1148,0,0,1,0,0,0,2.0,1
45,CA,37.7611016,-122.41600079999999,94110,c:11498,San Francisco,,WeAre.Us,closed,0,12/1/2007,4/23/2012,8/1/2008,8/1/2008,0.6685,0.6685,-0.9151,0.863,7,1,50000,2,CA,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,c:11498,0,1,0,0,0,0,3.0,0
46,CA,34.147047,-118.148896,91101,c:11507,Pasadena,,Cramster,acquired,1,1/1/2002,,9/25/2008,4/14/2010,6.737,8.2877,6.7534,6.7534,5,2,9000000,1,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:11507,0,0,1,1,0,0,1.0,0
47,CA,37.571318,-122.26796200000001,94404,c:11531,Foster City,,Right90,acquired,1,1/1/2003,,2/28/2005,9/23/2008,2.1616,5.7315,5.0027,5.0027,5,3,22000000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:11531,0,0,1,1,1,0,2.6667,1
48,MA,42.3751,-71.105616,2142,c:1165,Cambridge,Cambridge MA 2142,StyleFeeder,acquired,1,5/3/2006,,9/1/2007,5/1/2009,1.3315,2.9973,2.1616,5.9616,8,3,3500000,6,MA,0,0,1,0,0,ecommerce,0,0,0,0,0,0,1,0,0,0,c:1165,1,1,1,0,0,0,1.6667,1
49,CA,34.141876,-118.132377,91203,c:11817,Glendale,,MyShape,closed,0,9/1/2003,4/1/2013,7/17/2007,11/10/2010,3.8767,7.1973,2.6658,7.1973,3,4,28000000,2,CA,1,0,0,0,0,ecommerce,0,0,0,0,0,0,1,0,0,0,c:11817,1,0,0,1,1,0,3.0,1
50,CA,32.897273999999996,-117.201076,92121,c:11888,San Diego,,Avaak,acquired,1,1/1/2004,,10/3/2008,3/22/2010,4.7589,6.2247,3.6685,6.2247,2,2,17000000,2,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:11888,0,0,1,1,0,0,3.5,1
51,CA,37.787126,-122.39783,94105,c:1205,San Francisco,,Songbird,closed,0,2/1/2006,6/28/2013,10/2/2006,1/27/2010,0.6658,3.989,5.0849,7.3699,27,3,11015719,4,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:1205,1,0,1,0,0,0,2.0,1
52,MA,42.492256,-71.13454899999999,1864,c:12052,North Reading,,Kiva Systems,acquired,1,1/1/2003,,1/1/2003,5/24/2006,0.0,3.3945,6.9781,9.2192,13,2,11600000,3,MA,0,0,1,0,0,hardware,0,0,0,0,0,0,0,0,0,1,c:12052,0,0,1,0,1,0,2.0,1
53,NY,40.729839,-73.991781,10003,c:12071,New York,New York NY 10003,Xtify Inc.,acquired,1,4/1/2009,,5/1/2010,2/7/2012,1.0822,2.8548,1.611,4.5096,9,2,5686383,3,NY,0,1,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:12071,0,0,1,0,0,0,2.0,0
54,CA,37.39873720000001,-122.04979180000001,95112,c:12099,San Jose,,SolFocus,closed,0,11/1/2005,1/1/2013,3/1/2006,4/1/2012,0.3288,6.4192,1.1671,4.989,6,8,211403000,2,CA,1,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,c:12099,1,0,1,1,1,0,2.7143,1
55,WA,47.602872999999995,-122.336132,98104,c:1212,Seattle,,GridNetworks,closed,0,1/1/2004,8/17/2012,1/1/2006,5/20/2008,2.0027,4.3863,1.5836,4.1918,7,4,30000000,2,WA,0,0,0,0,1,network_hosting,0,0,0,0,0,0,0,0,0,1,c:1212,0,1,1,1,0,0,2.0,1
56,NY,40.907973999999996,-73.84179,10016,c:1214,New York,,Quigo,acquired,1,1/1/2000,,3/1/2004,6/7/2007,4.1671,7.4356,,,25,2,35000000,0,NY,0,1,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,c:1214,1,0,1,0,0,0,3.5,1
57,MA,42.375640000000004,-71.2358,2451,c:12171,Waltham,Waltham MA 2451,Guardium,acquired,1,1/1/2002,,8/12/2005,5/17/2006,3.6137,4.3753,0.0,7.9178,1,2,11800000,2,MA,0,0,1,0,0,search,0,0,0,0,0,0,0,0,0,1,c:12171,0,0,0,0,1,1,4.5,1
58,CA,37.55911,-122.30349299999999,95054,c:12173,Santa Clara,,Sentrigo,acquired,1,10/1/2006,,5/8/2007,12/21/2010,0.6,4.2247,-0.7479,4.4767,9,3,9500000,2,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:12173,0,0,1,1,1,0,2.0,1
59,IN,39.7672093,-86.1580785,46204,c:12178,Indianapolis,,ExactTarget,acquired,1,12/1/2000,,7/21/2004,10/24/2012,3.6384,11.9041,10.9836,12.6822,29,7,238209999,3,IN,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,c:12178,1,0,0,0,0,0,2.0,1
60,IN,39.914281,-86.07647800000001,46250,c:12179,Indianapolis,,Vontoo,closed,0,1/1/2005,10/31/2012,2/17/2009,2/24/2011,4.1315,6.1507,5.5699,6.1096,10,2,2192000,3,IN,0,0,0,0,1,public_relations,0,0,0,0,0,0,0,0,0,1,c:12179,1,0,0,1,0,0,3.0,0
61,VA,38.916336,-77.230488,22182,c:12224,Viena,,DubMeNow,closed,0,1/1/2008,6/1/2013,8/1/2008,6/5/2012,0.5836,4.4301,1.2521,2.1452,5,4,7516703,3,VA,0,0,0,0,1,mobile,0,0,1,0,0,0,0,0,0,0,c:12224,1,1,0,0,0,0,1.0,0
62,CA,37.351894,-122.085807,94024,c:1223,Los Altos,,SezWho,acquired,1,10/1/2006,,10/1/2007,10/1/2007,1.0,1.0,1.2521,5.2548,4,1,1000000,3,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:1223,0,0,1,0,0,0,1.0,0
63,NY,40.755446,-73.980246,10010,c:1224,New York,,Peer39,acquired,1,3/1/2006,,3/1/2006,1/24/2012,0.0,5.9041,3.8411,7.1370000000000005,18,7,29915001,5,NY,0,1,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,c:1224,1,1,1,1,1,0,2.75,1
64,CO,39.540323,-104.857271,80112,c:12285,Englewood,,MX Logic,acquired,1,1/1/2002,,11/7/2006,11/7/2006,4.8521,4.8521,6.5863,6.5863,5,1,4000000,1,CO,0,0,0,0,1,security,0,0,0,0,0,0,0,0,0,1,c:12285,0,0,0,0,0,0,5.0,1
65,GA,33.756806,-84.392198,30303,c:1234,Atlanta,,Vitrue,acquired,1,5/1/2006,,5/1/2006,2/17/2011,0.0,4.8027,3.7205,7.6164,26,4,33000000,5,GA,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,c:1234,0,0,1,1,1,0,3.0,1
66,CA,37.445667,-122.16691100000001,94063,c:12348,Redwood City,,"Wildfire, a division of Google",acquired,1,7/1/2008,,12/1/2008,12/1/2011,0.4192,3.4192,3.6027,4.8521,19,4,14100000,4,CA,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,c:12348,0,1,1,1,0,0,2.25,1
67,WA,47.607065000000006,-122.335373,98101,c:1236,Seattle,,Pelago,acquired,1,12/1/2005,,11/1/2006,5/27/2008,0.9178,2.4877,2.5808,5.3808,18,3,22400000,3,WA,0,0,0,0,1,mobile,0,0,1,0,0,0,0,0,0,0,c:1236,1,0,1,1,0,0,3.3333,1
68,CA,34.394343,-119.51231000000001,93013,c:12468,Carpinteria,,AdECN,acquired,1,1/1/2003,,2/1/2006,2/1/2006,3.0877,3.0877,5.0027,5.0027,6,1,3100000,1,CA,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,c:12468,0,0,1,0,0,0,5.0,1
69,WA,47.603327,-122.33498300000001,98104,c:1253,Seattle,,Faves,closed,0,12/1/2004,12/31/2011,1/1/2004,1/1/2004,-0.9178,-0.9178,,,4,1,1500000,0,WA,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,c:1253,0,0,0,0,0,0,3.0,0
70,CA,37.39972,-122.108306,94040,c:12630,Mountain View,,Goodmail Systems,closed,0,1/1/2003,1/1/2012,10/17/2005,1/12/2009,2.7945,6.0356,7.5014,8.0055,16,4,45000000,2,CA,1,0,0,0,0,security,0,0,0,0,0,0,0,0,0,1,c:12630,0,0,1,1,1,0,2.0,1
71,CA,37.536786,-122.32394599999999,94403,c:1266,San Mateo,,Laszlo Systems,acquired,1,1/1/2000,,1/1/2005,11/15/2011,5.0055,11.8795,2.0027,9.3452,9,6,37490000,3,CA,1,0,0,0,0,messaging,0,0,0,0,0,0,0,0,0,1,c:1266,1,0,1,1,1,0,3.6667,1
72,MA,42.360253,-71.058291,2116,c:12723,Boston,Boston MA 2116,Trusteer,acquired,1,12/1/2006,,11/1/2006,10/21/2008,-0.0822,1.8904,4.9205,6.7096,6,2,10100000,2,MA,0,0,1,0,0,security,0,0,0,0,0,0,0,0,0,1,c:12723,0,0,0,1,0,0,1.5,1
73,WA,47.620982,-122.359397,98119,c:128,Seattle,,Farecast,acquired,1,1/1/2003,,10/1/2004,1/1/2007,1.7507,4.0027,4.3315,9.5863,17,3,20600000,2,WA,0,0,0,0,1,search,0,0,0,0,0,0,0,0,0,1,c:128,0,0,1,1,1,0,3.6667,1
74,CA,37.391642,-122.09393500000002,94040,c:1283,Mountain View,Mountain View CA 94040,MerchantCircle,acquired,1,10/1/2005,,6/5/2006,9/1/2007,0.6767,1.9178,4.9781,6.6548,13,2,14300000,3,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:1283,0,0,1,1,0,0,4.5,1
75,CA,37.384239,-122.012475,94085,c:1284,Sunnyvale,,Minekey,closed,0,1/1/2005,8/18/2012,12/1/2006,8/1/2007,1.9151,2.5808,2.0,6.9178,10,2,3600000,3,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:1284,0,1,1,0,0,0,1.0,0
76,MA,42.346743,-71.07663199999999,2116,c:1285,Boston,,Compete,acquired,1,1/1/2000,,11/1/2000,8/1/2007,0.8356,7.5863,11.589,13.5863,35,4,33000000,5,MA,0,0,1,0,0,consulting,0,0,0,0,0,0,0,0,1,0,c:1285,1,0,1,1,1,0,2.5,1
77,IL,41.8851542,-87.62231829999999,60601,c:12957,Chicago,,Brickfish,acquired,1,11/1/2005,,7/16/2010,7/16/2010,4.7068,4.7068,2.989,6.8629999999999995,17,1,940261,2,IL,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,c:12957,0,0,1,0,0,0,1.0,1
78,NY,40.75166110000001,-73.9843328,10011,c:130,New York,,KickApps,acquired,1,3/1/2004,,6/1/2006,11/25/2008,2.2521,4.7397,5.337000000000001,7.274,22,3,39007789,5,NY,0,1,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,c:130,0,0,1,1,1,0,3.0,1
79,CO,39.944003,-105.16519,80027,c:13006,Superior,,Newmerix,closed,0,1/1/2002,10/29/2008,1/2/2007,1/2/2007,5.0055,5.0055,0.4137,0.4137,3,1,7000000,1,CO,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,c:13006,0,0,0,0,1,0,3.0,1
80,CA,33.982431,-118.42670700000001,90049,c:1301,Los Angeles,,StreetFire,acquired,1,6/1/2004,,9/1/2007,12/1/2008,3.2521,4.5041,3.0822,4.8548,9,2,7900000,2,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:1301,0,0,1,1,0,0,1.0,1
81,CA,37.788115000000005,-122.39714099999999,94105,c:13046,San Francisco,,DocVerse,acquired,1,9/1/2007,,7/23/2008,7/23/2008,0.8932,0.8932,0.8329,4.2137,8,1,1300000,4,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:13046,0,1,0,0,0,0,4.0,1
82,CA,37.384716999999995,-122.081625,94040,c:1309,Mountain View,,Loopt,acquired,1,1/1/2005,,6/1/2005,5/3/2010,0.4137,5.337000000000001,5.5205,7.189,21,4,32006000,3,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:1309,0,1,1,1,1,0,1.6667,1
83,CA,37.792871000000005,-122.400747,941017,c:13127,San Francisco,,One Block Off the Grid (1BOG),acquired,1,11/1/2008,,2/11/2010,2/11/2010,1.2795,1.2795,2.7041,3.5836,8,1,5000000,3,CA,1,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,c:13127,0,0,1,0,0,0,1.0,1
84,CA,37.54827,-121.98857199999999,94555-3619,c:131583,Fremont,Fremont CA 94555-3619,CV Ingenuity,closed,0,1/1/2008,7/1/2013,10/4/2011,1/24/2013,3.7589,5.0685,,,2,3,30926154,0,CA,1,0,0,0,0,medical,0,0,0,0,0,0,0,0,0,1,c:131583,0,0,0,1,0,0,3.0,1
